REGION_NAME,LA_NAME,Ethnicity,Pupil Count for Reading,Pupil Count achieving expected levels of Reading,Pupil Count for Writing,Pupil Count achieving expected levels of Writing,Pupil Count for Maths,Pupil Count achieving expected levels of Maths,"Pupil Count for Grammer, Punctuation, and Spelling","Pupil Count achieving Grammer, Punctuation, and Spelling","Pupil Count for Reading, Writing, and Maths","Pupil Count achieving Reading, Writing, and Maths",Achieve expected levels of KS2 Reading,Achieve expected levels of KS2 Writing,Achieve expected levels of KS2 Maths,Achieve expected levels of KS2 Grammar Punctuation and Spelling,Achieve expected levels of KS2 Reading Writing and Maths
South East,Isle of Wight,Chinese,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
South East,Oxfordshire,,6694,4585,6692,4585,6692,4624,6693,4806,6691,3475,0.684941739,0.685146444,0.690974298,0.718063649,0.519354357
South East,Oxfordshire,White,5627,3936,5626,3891,5626,3903,5627,4056,5625,2988,0.699484628,0.69161038,0.693743335,0.720810379,0.5312
South East,Oxfordshire,Mixed,378,247,377,263,377,265,377,260,377,192,0.653439153,0.697612732,0.702917772,0.689655172,0.50928382
South East,Oxfordshire,Asian,386,224,386,239,386,258,386,270,386,166,0.580310881,0.619170984,0.668393782,0.699481865,0.430051813
South East,Oxfordshire,Black,151,79,151,87,151,93,151,103,151,54,0.523178808,0.57615894,0.61589404,0.682119205,0.357615894
South East,Oxfordshire,Chinese,20,x,20,17,20,x,20,x,20,16,x,0.85,x,x,0.8
South East,Surrey,,11123,8163,11122,8490,11123,8269,11123,8564,11122,6650,0.733884743,0.763351915,0.743414546,0.769936168,0.597914044
South East,Surrey,White,9391,6904,9390,7143,9391,6920,9391,7160,9390,5586,0.735171973,0.760702875,0.736875732,0.762432116,0.594888179
South East,Surrey,Mixed,644,489,644,509,644,506,644,531,644,411,0.75931677,0.790372671,0.785714286,0.824534161,0.638198758
South East,Surrey,Asian,681,490,681,526,681,539,681,564,681,419,0.719530103,0.772393539,0.791483113,0.828193833,0.615271659
South East,Surrey,Black,158,106,158,116,158,104,158,114,158,84,0.670886076,0.734177215,0.658227848,0.721518987,0.53164557
South East,Surrey,Chinese,48,38,48,42,48,x,48,44,48,36,0.791666667,0.875,x,0.916666667,0.75
South East,West Sussex,,8239,5353,8239,5031,8239,5230,8239,5588,8239,3705,0.649714771,0.610632358,0.634785775,0.67823765,0.449690496
South East,West Sussex,White,7229,4731,7229,4357,7229,4568,7229,4862,7229,3231,0.654447365,0.602711302,0.631899295,0.67256882,0.446949786
South East,West Sussex,Mixed,353,233,353,246,353,234,353,252,353,177,0.660056657,0.696883853,0.662889518,0.71388102,0.501416431
South East,West Sussex,Asian,386,235,386,278,386,278,386,294,386,200,0.60880829,0.720207254,0.720207254,0.761658031,0.518134715
South East,West Sussex,Black,132,73,132,81,132,71,132,90,132,48,0.553030303,0.613636364,0.537878788,0.681818182,0.363636364
South East,West Sussex,Chinese,24,15,24,14,24,15,24,17,24,10,0.625,0.583333333,0.625,0.708333333,0.416666667
South West,Isles of Scilly,,20,13,20,12,20,11,20,12,20,11,0.65,0.6,0.55,0.6,0.55
South West,Isles of Scilly,White,20,13,20,12,20,11,20,12,20,11,0.65,0.6,0.55,0.6,0.55
South West,Isles of Scilly,Mixed,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
South West,Isles of Scilly,Asian,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
South West,Isles of Scilly,Black,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
South West,Isles of Scilly,Chinese,0,0,0,0,0,0,0,0,0,0,x,x,x,x,x
South West,Bath and North East Somerset,,1715,1218,1715,1212,1715,1166,1715,1246,1715,931,0.710204082,0.706705539,0.679883382,0.726530612,0.542857143
South West,Bath and North East Somerset,White,1560,1105,1560,1104,1560,1058,1560,1130,1560,844,0.708333333,0.707692308,0.678205128,0.724358974,0.541025641
South West,Bath and North East Somerset,Mixed,89,68,89,63,89,66,89,65,89,53,0.764044944,0.707865169,0.741573034,0.730337079,0.595505618
South West,Bath and North East Somerset,Asian,27,20,27,23,27,21,27,24,27,18,0.740740741,0.851851852,0.777777778,0.888888889,0.666666667
South West,Bath and North East Somerset,Black,14,8,14,7,14,6,14,10,14,4,0.571428571,0.5,0.428571429,0.714285714,0.285714286
South West,Bath and North East Somerset,Chinese,8,x,8,x,8,x,8,x,8,x,x,x,x,x,x
South West,"Bristol, City of",,4267,2847,4267,3159,4267,2918,4267,3053,4267,2304,0.667213499,0.740332787,0.683852824,0.715490977,0.539957816
South West,"Bristol, City of",White,3008,2101,3008,2283,3008,2134,3008,2177,3008,1720,0.698470745,0.758976064,0.709441489,0.723736702,0.571808511
South West,"Bristol, City of",Mixed,377,248,377,268,377,242,377,262,377,189,0.657824934,0.710875332,0.641909814,0.694960212,0.50132626
South West,"Bristol, City of",Asian,320,202,320,247,320,225,320,244,320,174,0.63125,0.771875,0.703125,0.7625,0.54375
South West,"Bristol, City of",Black,477,247,477,305,477,263,477,311,477,182,0.517819706,0.639412998,0.551362683,0.651991614,0.381551363
South West,"Bristol, City of",Chinese,16,10,16,12,16,13,16,11,16,9,0.625,0.75,0.8125,0.6875,0.5625
South West,North Somerset,,2150,1530,2150,1632,2150,1510,2150,1560,2150,1220,0.711627907,0.759069767,0.702325581,0.725581395,0.56744186
South West,North Somerset,White,2038,1456,2038,1543,2038,1428,2038,1478,2038,1156,0.714425908,0.757114818,0.700686948,0.725220805,0.567222767
South West,North Somerset,Mixed,64,43,64,52,64,44,64,46,64,36,0.671875,0.8125,0.6875,0.71875,0.5625
South West,North Somerset,Asian,30,23,30,23,30,25,30,24,30,20,0.766666667,0.766666667,0.833333333,0.8,0.666666667
South West,North Somerset,Black,7,x,7,4,7,4,7,4,7,x,x,0.571428571,0.571428571,0.571428571,x
South West,North Somerset,Chinese,5,x,5,x,5,x,5,x,5,x,x,x,x,x,x
South West,South Gloucestershire,,3086,2129,3086,2158,3086,2136,3086,2242,3086,1633,0.689889825,0.699287103,0.692158134,0.726506805,0.529163966
South West,South Gloucestershire,White,2809,1938,2809,1962,2809,1943,2809,2038,2809,1481,0.68992524,0.698469206,0.691705233,0.725525098,0.527233891
South West,South Gloucestershire,Mixed,138,96,138,97,138,95,138,102,138,73,0.695652174,0.702898551,0.688405797,0.739130435,0.528985507
South West,South Gloucestershire,Asian,67,51,67,55,67,60,67,56,67,49,0.76119403,0.820895522,0.895522388,0.835820896,0.731343284
South West,South Gloucestershire,Black,36,25,36,25,36,22,36,26,36,18,0.694444444,0.694444444,0.611111111,0.722222222,0.5
South West,South Gloucestershire,Chinese,7,x,7,x,7,x,7,x,7,4,x,x,x,x,0.571428571
South West,Dorset,,4053,2722,4049,2434,4052,2552,4053,2719,4048,1820,0.671601283,0.601136083,0.629812438,0.670861091,0.449604743
South West,Dorset,White,3851,2582,3847,2296,3850,2418,3851,2569,3846,1723,0.670475201,0.596828698,0.628051948,0.667099455,0.44799792
South West,Dorset,Mixed,122,87,122,80,122,76,122,91,122,56,0.713114754,0.655737705,0.62295082,0.745901639,0.459016393
